Node ID,Period,Disruption Rate %
SUP-DUAL,2020-12,6.21
SUP-DUAL,2021-01,6.08
SUP-DUAL,2021-02,5.91
SUP-DUAL,2021-03,6.1
SUP-DUAL,2021-04,5.51
SUP-DUAL,2021-05,5.6
SUP-DUAL,2021-06,5.98
SUP-DUAL,2021-07,5.68
SUP-DUAL,2021-09,5.81
SUP-DUAL,2021-10,5.9
SUP-DUAL,2021-11,4.75
SUP-DUAL,2021-12,6.35
SUP-DUAL,2022-01,6.71
SUP-DUAL,2022-02,7.96
SUP-DUAL,2022-03,7.92
SUP-DUAL,2022-04,7.97
SUP-DUAL,2022-06,8.72
SUP-DUAL,2022-07,7.62
SUP-DUAL,2022-08,7.25
SUP-DUAL,2022-09,6.22
SUP-DUAL,2022-10,7.16
SUP-DUAL,2022-11,6.59
SUP-DUAL,2022-12,5.7
SUP-DUAL,2023-02,5.73
SUP-DUAL,2023-03,5.03
SUP-DUAL,2023-04,5.44
SUP-DUAL,2023-05,4.86
SUP-DUAL,2023-06,4.1
SUP-DUAL,2023-07,6.02
SUP-DUAL,2023-08,5.63
SUP-DUAL,2023-09,6.42
SUP-DUAL,2023-11,5.59
SUP-DUAL,2023-12,6.09
SUP-DUAL,2024-01,5.59
SUP-DUAL,2024-02,5.64
SUP-DUAL,2024-03,7.04
SUP-DUAL,2024-04,6.47
SUP-DUAL,2024-05,5.03
SUP-DUAL,2024-06,5.19
SUP-DUAL,2024-07,6.01
SUP-DUAL,2024-08,5.34
SUP-DUAL,2024-10,5.88
SUP-DUAL,2024-11,5.29
SUP-DUAL,2025-01,5.53
SUP-DUAL,2025-02,4.91
SUP-DUAL,2025-03,5.18
SUP-DUAL,2025-04,5.74
SUP-DUAL,2025-05,4.77
SUP-DUAL,2025-07,6.01
SUP-DUAL,2025-08,5.55
SUP-DUAL,2025-09,4.76
SUP-DUAL,2025-10,5.7
SUP-DUAL,2025-11,4.87
SUP-DUAL,2025-12,6.12
SUP-DUAL,2026-01,5.59
SUP-DUAL,2026-04,8.27
SUP-DUAL,2026-05,5.89
SUP-DUAL,2026-06,4.99
SUP-DUAL,2026-07,6.49
SUP-DUAL,2026-08,5.78
LOG-REROUTE,2020-12,3.43
LOG-REROUTE,2021-01,2.71
LOG-REROUTE,2021-02,2.98
LOG-REROUTE,2021-03,2.74
LOG-REROUTE,2021-04,3.26
LOG-REROUTE,2021-05,4.11
LOG-REROUTE,2021-06,3.58
LOG-REROUTE,2021-07,3.34
LOG-REROUTE,2021-09,3.25
LOG-REROUTE,2021-10,4.0
LOG-REROUTE,2021-11,3.34
LOG-REROUTE,2021-12,3.46
LOG-REROUTE,2022-01,4.13
LOG-REROUTE,2022-02,3.1
LOG-REROUTE,2022-03,2.97
LOG-REROUTE,2022-04,3.41
LOG-REROUTE,2022-06,3.13
LOG-REROUTE,2022-07,2.91
LOG-REROUTE,2022-08,3.82
LOG-REROUTE,2022-09,3.11
LOG-REROUTE,2022-10,2.84
LOG-REROUTE,2022-11,3.66
LOG-REROUTE,2022-12,3.15
LOG-REROUTE,2023-02,3.75
LOG-REROUTE,2023-03,3.59
LOG-REROUTE,2023-04,2.96
LOG-REROUTE,2023-05,2.41
LOG-REROUTE,2023-06,3.78
LOG-REROUTE,2023-07,3.26
LOG-REROUTE,2023-08,2.18
LOG-REROUTE,2023-09,2.49
LOG-REROUTE,2023-11,2.31
LOG-REROUTE,2023-12,1.96
LOG-REROUTE,2024-01,2.42
LOG-REROUTE,2024-02,2.39
LOG-REROUTE,2024-03,2.56
LOG-REROUTE,2024-04,4.02
LOG-REROUTE,2024-05,4.54
LOG-REROUTE,2024-06,3.59
LOG-REROUTE,2024-07,2.79
LOG-REROUTE,2024-08,3.09
LOG-REROUTE,2024-10,2.84
LOG-REROUTE,2024-11,3.26
LOG-REROUTE,2025-01,3.3
LOG-REROUTE,2025-02,3.16
LOG-REROUTE,2025-03,3.36
LOG-REROUTE,2025-04,3.2
LOG-REROUTE,2025-05,2.93
LOG-REROUTE,2025-07,3.17
LOG-REROUTE,2025-08,3.48
LOG-REROUTE,2025-09,4.56
LOG-REROUTE,2025-10,4.35
LOG-REROUTE,2025-11,3.63
LOG-REROUTE,2025-12,3.62
LOG-REROUTE,2026-01,4.41
LOG-REROUTE,2026-04,3.78
LOG-REROUTE,2026-05,4.2
LOG-REROUTE,2026-06,4.1
LOG-REROUTE,2026-07,3.56
LOG-REROUTE,2026-08,3.35
